ts,x1,x2,x3,x4,x5,x6,x7,x8,x9
2025/12/15,0.0147,100,500,0,250,1800,11.04,98.38,1
2025/12/16,0.01763,100,500,0,250,1800,11.11,98.97,1
2025/12/17,0.02115,100,500,0,250,1800,11.21,98.97,1
2025/12/18,0.02538,100,500,0,250,1800,11.27,98.97,1
2025/12/19,0.03045,100,500,0,250,1800,11.44,99.77,1
2025/12/20,0.03653,100,500,0,250,1800,11.55,100.13,1
2025/12/21,0.04383,100,500,0,250,1800,11.69,100.43,1
2025/12/22,0.05258,100,500,0,250,1800,12.03,100.87,1
2025/12/23,0.06308,100,500,0,250,1800,12.3,101.49,1
